Time [ms],Altitude [m],Latitude [°],Longitude [°],State[x]
57.0,291.0,49.237833,4.333333,4
117.0,291.0,49.237833,4.333333,4
175.0,290.0,49.237833,4.333333,4
231.0,291.0,49.237833,4.333333,4
294.0,291.0,49.237833,4.333333,4
357.0,291.0,49.237833,4.333333,4
429.0,290.0,49.237833,4.333333,4
479.0,290.0,49.237833,2.05,4
545.0,290.0,49.237833,2.05,4
608.0,290.0,49.237833,2.05,4
672.0,290.0,49.237833,2.05,4
722.0,290.0,49.237833,2.05,4
776.0,290.0,49.237833,2.05,4
826.0,290.0,49.237833,2.05,4
890.0,290.0,49.237833,2.05,4
953.0,291.0,49.237833,2.05,4
1016.0,291.0,49.237833,2.05,4
1079.0,290.0,49.237833,16.555667,4
1142.0,290.0,49.237833,16.555667,4
1206.0,290.0,49.237833,16.555667,4
1269.0,290.0,49.237833,16.555667,4
1327.0,290.0,49.237833,16.555667,4
1394.0,290.0,49.237833,16.555667,4
1457.0,290.0,49.237833,16.555667,4
1521.0,290.0,49.237833,16.555667,4
1585.0,290.0,49.237833,16.555667,4
1651.0,290.0,49.237833,16.555667,4
1706.0,290.0,49.237833,16.555667,4
1784.0,290.0,49.237833,16.555667,4
1848.0,290.0,49.237833,16.555667,4
1927.0,290.0,49.237833,16.555667,4
1997.0,290.0,49.237833,16.555667,4
2060.0,290.0,49.237833,16.555667,4
2126.0,290.0,49.237833,16.555667,4
2190.0,291.0,49.237833,16.555667,4
2253.0,291.0,49.237833,16.555667,4
2316.0,290.0,49.237833,0.0,4
2389.0,290.0,49.237833,0.0,4
2452.0,290.0,49.237833,0.0,4
2517.0,290.0,49.237833,0.0,4
2580.0,290.0,49.237833,0.0,4
2638.0,291.0,49.237833,0.0,4
2701.0,290.0,49.237833,0.0,4
2764.0,291.0,49.237833,16.555667,4
2837.0,291.0,49.237833,16.555667,4
2895.0,291.0,49.237833,16.555667,4
2967.0,291.0,49.237833,16.555667,4
3044.0,290.0,49.237833,16.555667,4
3107.0,290.0,49.237833,16.555667,4
3170.0,290.0,49.237833,16.555667,4
3234.0,290.0,49.237833,16.555667,4
3297.0,290.0,49.237833,16.555667,4
3376.0,290.0,49.237833,16.555667,4
3452.0,290.0,49.237833,16.555667,4
3528.0,290.0,49.237833,16.555667,4
3586.0,290.0,49.237833,16.555667,4
3656.0,290.0,49.237833,16.555667,4
3721.0,290.0,49.237833,16.555667,4
3784.0,290.0,49.237833,16.555667,4
3850.0,290.0,49.237833,16.555667,4
3915.0,290.0,49.237833,16.555667,4
3984.0,290.0,49.237833,16.555667,4
4048.0,290.0,49.237833,16.555667,4
4129.0,290.0,49.237833,16.555667,4
4193.0,290.0,49.237833,16.555667,4
4253.0,290.0,49.237833,16.555667,4
